date,close
2022/10/27,75.9
2022/10/26,75.61
2022/10/25,76.05
2022/10/24,76.24
2022/10/21,76.41
2022/10/20,76.52
2022/10/19,77.35
2022/10/18,77.12
2022/10/17,77.42
2022/10/14,76.03
2022/10/13,76.13
2022/10/12,77.01
2022/10/11,76.84
2022/10/10,76.42
2022/9/30,78.29
2022/9/29,76.12
2022/9/28,76.18
2022/9/27,77.02
2022/9/26,77.88
2022/9/23,77.11
2022/9/22,77.11
2022/9/21,75.09
2022/9/20,74.61
2022/9/19,74.66
2022/9/16,74.55
2022/9/15,78.1
2022/9/14,78.28
2022/9/13,78.16
2022/9/9,79.23
2022/9/8,77.92
2022/9/7,78.11
2022/9/6,77.58
2022/9/5,75.73
2022/9/2,78.05
2022/9/1,78.28
2022/8/31,79.31
2022/8/30,79.06
2022/8/29,78.64
2022/8/26,79.32
2022/8/25,79.45
2022/8/24,79.56
2022/8/23,78.76
2022/8/22,78.01
2022/8/19,78.28
2022/8/18,77.09
2022/8/17,78.99
2022/8/16,78.98
2022/8/15,78.39
2022/8/12,77.35
2022/8/11,78.6
2022/8/10,74.71
2022/8/9,79.35
2022/8/8,79.22
2022/8/7,79.82
2022/8/6,79.7
2022/8/5,78.86
2022/8/4,79.18
2022/8/3,78.99
2022/8/2,78.73
2022/8/1,78.7
2022/7/31,79.32
2022/7/30,78.03
2022/7/29,79.55
2022/7/28,77.8
2022/7/27,77.62
2022/7/26,77.73
2022/7/25,78.06
2022/7/22,78.83
2022/7/21,78.11
2022/7/20,78.25
2022/7/19,79.36
2022/7/18,79.48
2022/7/15,79.39
2022/7/14,79.32
2022/7/13,79.26
2022/7/12,79.19
2022/7/11,79.28
2022/7/8,78.99
2022/7/7,79.06
2022/7/6,78.31
2022/7/5,79.51
2022/7/4,80.01
2022/7/1,78.27
2022/6/30,79.02
2022/6/29,78.57
2022/6/28,77.25
2022/6/27,79.21
2022/6/24,77.24
2022/6/23,78.26
2022/6/22,78.6
2022/6/21,78.27
2022/6/20,78.44
2022/6/17,79.19
2022/6/16,79.11
2022/6/15,79.54
2022/6/14,79.13
2022/6/13,79.47
2022/6/10,79.97
2022/6/9,80.42
2022/6/8,78.21
2022/6/7,78.25
2022/6/6,77.71
2022/6/2,77.57
2022/6/1,78.59
2022/5/31,78.12
2022/5/30,77.45
2022/5/27,78.15
2022/5/26,79.45
2022/5/25,79.56
2022/5/24,79.62
2022/5/23,80.19
2022/5/20,80.24
2022/5/19,79.65
2022/5/18,79.06
2022/5/17,78.13
2022/5/16,79.08
2022/5/13,79.71
2022/5/12,79.89
2022/5/11,80.83
2022/5/10,79.54
2022/5/9,79.56
2022/5/6,79.61
2022/5/5,79.85
2022/4/29,80.03
2022/4/28,80.3
2022/4/27,79.83
2022/4/26,79.83
2022/4/25,79.7
2022/4/22,81
2022/4/21,79.41
2022/4/20,79.4
2022/4/19,80.51
2022/4/18,81.05
2022/4/15,80.76
2022/4/14,80.22
2022/4/13,80.61
2022/4/12,81.28
2022/4/11,82.94
2022/4/8,79.88
2022/4/7,79.61
2022/4/6,79.71
2022/4/1,79.53
2022/3/31,80.16
2022/3/30,81.13
2022/3/29,81.2
2022/3/28,80.13
2022/3/25,77.87
2022/3/24,76.01
2022/3/23,75.66
2022/3/22,75.88
2022/3/21,76.23
2022/3/18,77.86
2022/3/17,77.18
2022/3/16,77.63
2022/3/15,77.45
2022/3/14,75.93
2022/3/11,71.72
2022/3/10,69.8
2022/3/9,69.71
2022/3/8,66.8
2022/3/7,66.55
2022/3/4,66.8
2022/3/3,66.95
2022/3/2,69.57
2022/3/1,69.44
2022/2/28,71.38
2022/2/25,72.24
2022/2/24,73.2
2022/2/23,76.02
2022/2/22,77.51
2022/2/21,77.28
2022/2/18,76.59
2022/2/17,76.43
2022/2/16,77.15
2022/2/15,76.59
2022/2/14,73.85
2022/2/11,77.35
2022/2/10,85.94
2022/2/9,95.26
2022/2/8,92.67
2022/2/7,84.8
2022/1/28,77.7
2022/1/27,73.25
2022/1/26,68.94
2022/1/25,69.15
2022/1/24,68.61
2022/1/21,67.03
2022/1/20,64.34
2022/1/19,62.63
2022/1/18,60.61
2022/1/17,62.51
2022/1/14,59.96
2022/1/13,60.48
2022/1/12,59.53
2022/1/11,58.59
2022/1/10,57.5
2022/1/7,56.56
2022/1/6,55.81
2022/1/5,55.92
2022/1/4,54.54
2021/12/31,53.22
2021/12/30,53.85
2021/12/29,57.11
2021/12/28,54.62
2021/12/27,56.97
2021/12/24,56.91
2021/12/23,54.87
2021/12/22,53.2
2021/12/21,56.68
2021/12/20,57.44
2021/12/17,57.65
2021/12/16,57.7
2021/12/15,56.38
2021/12/14,52.66
2021/12/13,50.1
2021/12/10,49.01
2021/12/9,47.8
2021/12/8,47.3
2021/12/7,47.52
2021/12/6,47.51
2021/12/3,46.99
2021/12/2,46.37
2021/12/1,45.28
2021/11/30,45.4
2021/11/29,45.08
2021/11/26,45.44
2021/11/25,45.16
2021/11/24,45.23
2021/11/23,44.89
2021/11/22,44.87
2021/11/19,44.42
2021/11/18,43.86
2021/11/17,44.49
2021/11/16,43.52
2021/11/15,43.67
2021/11/12,44.01
2021/11/11,43.5
2021/11/10,43.84
2021/11/9,43.3
2021/11/8,43.23
2021/11/5,42.52
2021/11/4,42.54
2021/11/3,43.36
2021/11/2,43.13
2021/11/1,43.51
2021/10/29,43.36
2021/10/28,42.61
2021/10/27,43.14
2021/10/26,43.12
2021/10/25,43.39
2021/10/22,43.57
2021/10/21,43.67
2021/10/20,43.62
2021/10/19,43.45
2021/10/18,42.91
2021/10/15,42.75
2021/10/14,43.36
2021/10/13,43.88
2021/10/12,44.23
2021/10/11,44.87
2021/10/8,43.93
2021/9/30,43.7
2021/9/29,43.65
2021/9/28,42.91
2021/9/27,42.81
2021/9/24,41.39
2021/9/23,41.88
2021/9/22,41.81
2021/9/17,41.25
2021/9/16,41.27
2021/9/15,40.95
2021/9/14,40.77
2021/9/13,39.04
2021/9/10,38.67
2021/9/9,39.66
2021/9/8,40.41
2021/9/7,38.71
2021/9/6,39
2021/9/3,38.49
2021/9/2,38.44
2021/9/1,38.22
2021/8/31,39.89
2021/8/30,38.74
2021/8/27,39.7
2021/8/26,38.05
2021/8/25,39.28
2021/8/24,38.11
2021/8/23,38.24
2021/8/20,38.28
2021/8/19,38.74
2021/8/18,37.48
2021/8/17,38.17
2021/8/16,38.52
2021/8/13,38.48
2021/8/12,39.62
2021/8/11,40.05
2021/8/10,39.22
2021/8/9,40.57
2021/8/6,40.42
2021/8/5,40.55
2021/8/4,40.09
2021/8/3,40.2
2021/8/2,40.25
2021/7/30,40.18
2021/7/29,40.41
2021/7/28,40.25
2021/7/27,40.12
2021/7/26,42.2
2021/7/23,43.48
2021/7/22,44.36
2021/7/21,45.51
2021/7/20,45.01
2021/7/19,44.25
2021/7/18,44.35
2021/7/17,43.53
2021/7/16,44.06
2021/7/15,43.97
2021/7/14,43.48
2021/7/13,43.29
2021/7/12,43.34
2021/7/11,44.37
2021/7/10,43.71
2021/7/9,43.81
2021/7/8,43.63
2021/7/7,44.3
2021/7/6,43.77
2021/7/5,43.13
2021/7/2,42.74
2021/7/1,43.22
2021/6/30,41.32
2021/6/29,42.83
2021/6/28,42.26
2021/6/25,41.84
2021/6/24,41.22
2021/6/23,41.59
2021/6/22,40.12
2021/6/21,40.64
2021/6/18,40.04
2021/6/17,41.57
2021/6/16,40.09
2021/6/15,40.07
2021/6/11,39.98
2021/6/10,40.43
2021/6/9,39.95
2021/6/8,39.55
2021/6/7,39.57
2021/6/4,39.53
2021/6/3,40.07
2021/6/2,39.6
2021/6/1,39.47
2021/5/31,39.44
2021/5/28,41.08
2021/5/27,39.44
2021/5/26,39.49
2021/5/25,40.01
2021/5/24,40.26
2021/5/21,39.66
2021/5/20,39.8
2021/5/19,39.91
2021/5/18,40.44
2021/5/17,40.15
2021/5/14,40.17
2021/5/13,40.02
2021/5/12,39.67
2021/5/11,39.57
2021/5/10,39.42
2021/5/7,39.17
2021/5/6,39.16
2021/4/30,38.26
2021/4/29,38.62
2021/4/28,38.69
2021/4/27,38.95
2021/4/26,38.78
2021/4/23,38.7
2021/4/22,37.57
2021/4/21,37.2
2021/4/20,37.13
2021/4/19,37.19
2021/4/16,37.18
2021/4/15,37
2021/4/14,36.99
2021/4/13,36.94
2021/4/12,36.69
2021/4/9,36.65
2021/4/8,37.09
